name,prefix,suffix,long,lat,level,id,huyen_id
Xã Tòng Lệnh,Xã,Tòng Lệnh,103.759993,21.426429,3,1903166,2622
Xã Thạch Xuân,Xã,Thạch Xuân,105.843272,18.297833,3,1903397,2853
Xã Nghi Yên,Xã,Nghi Yên,105.648551,18.881615,3,1903411,2867
Xã Chí Minh,Xã,Chí Minh,106.420108,20.82269,3,1903654,3110
Xã Phục Lễ,Xã,Phục Lễ,106.743509,20.925402,3,1903885,3341
Xã Trù Sơn,Xã,Trù Sơn,105.445504,18.835273,3,1903923,3379
Xã Vạn Thắng,Xã,Vạn Thắng,105.399559,21.248566,3,1904139,3595
Xã Trần Phú,Xã,Trần Phú,105.672653,20.826303,3,1904395,3851
Xã Vinh Quang,Xã,Vinh Quang,106.491356,20.658829,3,1904397,3853
Xã Vạn Hòa,Xã,Vạn Hòa,105.639142,19.625445,3,1904450,3906
Xã Quỳnh Yên,Xã,Quỳnh Yên,105.679953,19.143252,3,1904947,4403
Xã Thanh Phong,Xã,Thanh Phong,105.343526,18.812127,3,1905459,4915
Xã Quảng Vọng,Xã,Quảng Vọng,105.742488,19.653167,3,1905474,4930
Xã Tân Thành,Xã,Tân Thành,105.535,19.106956,3,1905971,5427
Xã Viên Nội,Xã,Viên Nội,105.718395,20.788827,3,1906187,5643
Xã Xuân Minh,Xã,Xuân Minh,105.547714,19.968064,3,1906242,5698
Xã Tĩnh Hải,Xã,Tĩnh Hải,105.776849,19.380403,3,1906754,6210
Xã Thọ Tiến,Xã,Thọ Tiến,105.515012,19.831921,3,1907010,6466
Xã Yên Trường,Xã,Yên Trường,105.592861,20.022585,3,1907522,6978
Xã Văn Tự,Xã,Văn Tự,105.891921,20.786323,3,1908235,7691
Xã Tân Hạnh,Xã,Tân Hạnh,106.782849,10.957271,3,1966368,288
Xã Quảng Cát,Xã,Quảng Cát,105.839146,19.744075,3,1966402,322
Xã Thái Hưng,Xã,Thái Hưng,106.176125,20.595277,3,1966656,576
Xã Hải Thanh,Xã,Hải Thanh,106.309766,20.197644,3,1966898,818
Xã Yên Dưỡng,Xã,Yên Dưỡng,105.150714,21.34533,3,1966902,822
Xã Xuân Trạch,Xã,Xuân Trạch,106.229044,17.660582,3,1966904,824
Xã Vũ Hòa,Xã,Vũ Hòa,106.376352,20.368186,3,1966912,832
Xã Xuân Áng,Xã,Xuân Áng,104.959379,21.571963,3,1967158,1078
Xã Hồng Châu,Xã,Hồng Châu,106.269308,20.53232,3,1967168,1088
Xã Yên Lãng,Xã,Yên Lãng,105.516354,21.686866,3,1967169,1089
Xã Trù Hựu,Xã,Trù Hựu,106.555156,21.399831,3,1967379,1299
