name,prefix,suffix,long,lat,level,id,tinh_id
Huyện Quảng Ninh,Huyện,Quảng Ninh,106.641,17.404,2,1592,56
Huyện Hiệp Đức,Huyện,Hiệp Đức,108.114,15.5824,2,1593,57
Huyện Lý Sơn,Huyện,Lý Sơn,109.112,15.3878,2,1594,58
Thị xã Đông Triều,Thị xã,Đông Triều,106.514,21.0821,2,1595,59
Huyện Hướng Hóa,Huyện,Hướng Hóa,106.738,16.6279,2,1596,60
Huyện Long Phú,Huyện,Long Phú,106.125,9.60868,2,1597,61
Huyện Phù Yên,Huyện,Phù Yên,104.645,21.2635,2,1598,62
Huyện Hòa Thành,Huyện,Hòa Thành,106.131,11.2872,2,1599,63
Huyện Thái Thụy,Huyện,Thái Thụy,106.566,20.5631,2,1600,64
Huyện Định Hóa,Huyện,Định Hóa,105.642,21.907,2,1601,65
Huyện Hậu Lộc,Huyện,Hậu Lộc,105.885,19.9141,2,1602,66
Huyện Phong Điền,Huyện,Phong Điền,107.362,16.5864,2,1603,67
Huyện Chợ Gạo,Huyện,Chợ Gạo,106.464,10.3498,2,1604,68
Huyện Châu Thành,Huyện,Châu Thành,106.347,9.87255,2,1605,69
Huyện Yên Sơn,Huyện,Yên Sơn,105.16407,21.850059,2,1606,70
Huyện Tam Bình,Huyện,Tam Bình,105.999,10.0466,2,1607,71
Huyện Tam Đảo,Huyện,Tam Đảo,105.646,21.4563,2,1608,72
Huyện Trạm Tấu,Huyện,Trạm Tấu,104.379,21.4672,2,1609,73
Quận Long Biên,Quận,Long Biên,105.889214,21.055625,2,1803,11
Quận 7,Quận,7,106.736996,10.711971,2,1804,12
Quận Đồ Sơn,Quận,Đồ Sơn,106.782764,20.715802,2,1805,13
Huyện Hòa Vang,Huyện,Hòa Vang,108.139168,15.988552,2,1806,14
Quận Thốt Nốt,Quận,Thốt Nốt,105.531705,10.270768,2,1807,15
Huyện Chợ Mới,Huyện,Chợ Mới,105.4,10.55,2,1808,16
Thị xã Phú Mỹ,Thị xã,Phú Mỹ,107.055,10.6053,2,1809,17
Huyện Vĩnh Lợi,Huyện,Vĩnh Lợi,105.695,9.3537,2,1810,18
